X,Y,FID,Rotation,Direction,Volume,Label,Year,Neighbourh
-13732658.6397193,6178148.37695778,399,350.0809329347,Right,12220,12220(84),1984,Downtown
-13732851.382933,6178106.95438251,400,349.7561956128,Left,10690,10690(84),1984,Downtown
-13733093.6413676,6178104.79575253,401,81.0220273137,Left,5810,5810(93),1993,Downtown
-13732160.7148194,6178297.19229355,402,354.3788130647,Left,13376,13376(10),2010,North Park
-13732040.9726627,6178045.73857359,403,349.5867843436,Right,12420,12420(84),1984,Harris Green
-13731717.2161268,6177994.3185193,404,349.590627188,Right,13230,13230(91),1991,Harris Green
-13732237.1261841,6177917.05422643,405,350.4702947853,Left,11950,11950(84),1984,Harris Green
-13732052.7304793,6177771.12328117,406,80.2665916686,Left,3860,3860(89),1989,Harris Green
-13731943.2615912,6177917.49008922,407,82.0684104087,Right,4840,4840(89),1989,Harris Green
-13732259.4860776,6177974.78644188,408,81.7488165248,Right,5580,5580(89),1989,Harris Green
-13732351.357183,6177829.65882783,409,80.8767096133,Left,6080,6080(89),1989,Harris Green
-13732568.4163927,6178005.02823606,410,78.9369217168,Right,11860,11860(90),1990,Downtown
-13732669.1113774,6177888.14673973,411,79.2092209583,Left,19220,19220(90),1990,Downtown
-13732876.6688175,6178076.94723195,412,80.9753164001,Right,11690,11690(89),1989,Downtown
-13732993.1914314,6177924.62569046,413,78.9898280363,Left,21570,21570(89),1989,Downtown
-13733343.5629964,6177881.92501912,414,351.1861024157,Right,5210,5210(89),1989,Downtown
-13732989.2708824,6177645.48162673,415,80.280935288,Left,14010,14010(90),1990,Downtown
-13732929.2277968,6177794.71847979,416,80.8183303851,Right,13080,13080(90),1990,Downtown
-13732722.6117555,6177716.70713081,417,350.7341685197,Right,11240,11240(84),1984,Downtown
-13732757.0152247,6177586.28196037,418,350.113241514,Right,1960,1960(92),1992,Downtown
-13732900.7572402,6177673.93103133,419,350.6213211479,Left,2620,2620(92),1992,Downtown
-13732712.1787564,6177621.49402715,420,79.6889637517,Left,11140,11140(84),1984,Downtown
-13732614.4644738,6177738.17068958,421,80.1283157494,Right,9880,9880(84),1984,Downtown
-13733389.7770475,6177584.73222498,422,335.5232977011,Left,11220,11220(93),1993,Downtown
-13733329.7643226,6177489.51727968,423,334.4002018827,Right,11140,11140(93),1993,Downtown
-13733194.9269019,6177492.72409061,424,334.3505142327,Left,3460,3460(90),1990,Downtown
-13733073.6484254,6177367.38570385,425,336.3854841477,Right,1650,1650(90),1990,Downtown
-13733041.5613131,6177404.64098392,426,80.1282945337,Left,8370,8370(93),1993,Downtown
-13732971.5690715,6177542.18487705,427,81.5238226414,Right,8740,8740(93),1993,Downtown
-13732251.0220261,6177320.33720612,428,350.9401315099,Both,1480,1480(85),1985,Fairfield
-13732115.4591157,6177617.67163274,429,350.7134762836,Right,12000,12000(84),1984,Harris Green
-13732235.5917888,6177395.54795944,430,350.9401315099,Both,2590,2590(85),1985,Fairfield
-13732399.1794514,6177551.17262355,431,80.8767096133,Left,5970,5970(84),1984,Fairfield
-13732322.4541044,6177592.08058117,432,81.7488165248,Right,6380,6380(84),1984,Fairfield
-13728795.9509328,6176281.78151773,433,91.4160060839,Left,3108,3108(97),1997,Gonzales
-13733075.7253358,6177009.65226476,434,286.0844781998,Left,4900,4900(90),1990,James Bay
-13734799.6684921,6177290.06214314,435,57.464633961,Both,5089,5089(96),1996,James Bay
-13735243.0323492,6179304.6350403,436,90.0006198368,Right,276,276(07),2007,Victoria West
-13735296.2441618,6179201.10419422,437,94.0835219794,Left,162,162(07),2007,Victoria West
-13735299.7284267,6178932.87962548,438,93.0006198368,Left,162,162(07),2007,Victoria West
-13735233.1536853,6179034.60389537,439,92.0006198368,Right,232,232(07),2007,Victoria West
-13735562.7407484,6180669.70468862,440,330.0006198368,Right,220,220(96),1996,Burnside
-13735667.1879174,6180686.67456528,441,325.0006198368,Left,300,300(96),1996,Burnside
-13728336.157362,6178400.68494146,442,0.0006198368,Left,1093,1093(96),1996,South Jubilee
-13728218.9994958,6178454.05856068,443,0.0006198368,Right,1036,1036(96),1996,South Jubilee
-13728691.9785653,6178589.70135413,444,90.0006198368,Both,370,370(96),1996,South Jubilee
-13728414.4607068,6178758.60509108,445,0.0006198368,Right,370,370(96),1996,South Jubilee
-13728349.9532084,6178755.21367332,446,0.0006198368,Left,240,240(96),1996,South Jubilee
-13735152.5192101,6181579.91072705,447,57.3637420323,Both,700,700(96),1996,Burnside
-13735066.4369793,6181211.67550064,448,62.5771708994,Both,350,350(96),1996,Burnside
-13728581.4863442,6178517.28494027,449,90.0006198368,Left,323,323(15),2015,South Jubilee
-13732612.5384649,6176880.05225293,450,315.7388841214,Right,731,731(96),1996,Fairfield
-13732693.2531219,6177039.01163538,451,319.5256520044,Left,832,832(96),1996,Fairfield
-13735172.7073988,6181281.91065204,452,62.5771708994,Both,665,665(96),1996,Burnside
-13731138.604571,6176400.94362152,453,80.0219651978,Both,3222,3222(97),1997,Fairfield
-13730964.2166078,6176973.19983085,454,80.0219651978,Both,2282,2282(97),1997,Rockland
-13730908.3489268,6177281.37970867,455,80.0219651978,Both,1905,1905(97),1997,Rockland
-13730811.763386,6177162.90969695,456,318.9249013191,Left,1799,1799(14),2014,Rockland
-13730760.0630225,6176980.2743048,457,317.5933624018,Right,1154,1154(14),2014,Rockland
-13729355.400949,6175174.48256941,458,0.2349047776,Left,1658,1658(09),2009,Gonzales
